job_role,title,skills,skills_count,experience,salary,company,city,employment,url,skill_SQL,skill_Английский —_B2_—_Средне-продвинутый,skill_Английский_язык,skill_Python,skill_Docker,skill_Git,skill_Kubernetes,skill_PostgreSQL,skill_CI_CD,skill_JavaScript,skill_Английский —_B1_—_Средний,skill_Бизнес-анализ,skill_Английский —_C1_—_Продвинутый,skill_Аналитическое_мышление,skill_REST_API,skill_TypeScript,skill_Linux,skill_React,skill_Figma,skill_Деловая_коммуникация,skill_BPMN,skill_Java,skill_API,skill_UML,skill_Redis,skill_MySQL,skill_Agile,skill_Power_BI,skill_UX,skill_Postman,skill_HTML,skill_Atlassian_Jira,skill_UI,skill_DevOps,skill_PHP,skill_Grafana,skill_Adobe_Photoshop,skill_Разработка_технических_заданий,skill_Русский —_C2_—_В_совершенстве,skill_MS_Excel,skill_User_Story,skill_REST,skill_RabbitMQ,skill_Scrum,skill_Постановка_задач_разработчикам,skill_QA,skill_Project_management,skill_Prometheus,skill_CSS,skill_SOAP,skill_Русский —_C1_—_Продвинутый,skill_Angular,skill_Apache_Kafka,skill_Laravel,skill_Adobe_Illustrator,skill_Анализ_данных,skill_Gitlab,skill_Golang,skill_Node_js,skill_Системный_анализ
Data Analyst,,Google Analytics; Яндекс.Метрика; SQL; BigQuery; Power BI; Tableau,6,3–6 лет,,ТООMP Solutions,,,https://hh.ru/vacancy/132066939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Аналитическое мышление; Английский язык; Negotiation skills,3,1–3 года,,ТООAutodoc Group (Автодок Казахстан),,,https://hh.ru/vacancy/131967065,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Kubernetes; Clickhouse; Apache Airflow; DataOps,4,3–6 лет,,ТООBilim Land (Bilim Group),,,https://hh.ru/vacancy/132659521,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Английский — C2 — В совершенстве,1,3–6 лет,,АОИсламский Банк ADCB,,,https://hh.ru/vacancy/131819248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Аналитическое мышление; Пользователь ПК; Внимательность; Деловое общение; Проведение презентаций; Аналитические исследования; Анализ рынка; Маркетинговые исследования,8,не требуется,,ТООСтофарм,,,https://hh.ru/vacancy/131923033,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,SQL; Python; PostgreSQL; Oracle Pl/SQL; MS SQL Server; DWH,6,3–6 лет,,ТООMAGNUM. Информационные технологии/Ақпараттық технологиялар,,,https://hh.ru/vacancy/132343280,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Сбор и анализ информации; Аналитическое мышление; Работа с базами данных; Статистический анализ; Power BI; SQL; Python; MS Excel; Git; HTML; CSS; Визуализация данных,12,3–6 лет,,BI Group. BI Development,,,https://hh.ru/vacancy/132247704,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,SQL; MS Excel; Проектирование витрин данных; Визуализация данных,4,1–3 года,,Kaspi.kz,,,https://hh.ru/vacancy/132208253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Работа с большим объемом информации; Power BI; Организаторские навыки; Аналитическое мышление,4,1–3 года,,ТООApple City Corps,,,https://hh.ru/vacancy/131755449,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,WEB аналитика; Веб-аналитика; Data Analysis; Marketing Analysis; Python; SQL; MS Excel; ROMI; CAC; LTV; Tableau,11,1–3 года,,ОООТопассистент,,,https://hh.ru/vacancy/131954928,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Python; SQL; Airflow; ETL/ELT; API; Kafka; Data Warehousing; Data pipeline,8,3–6 лет,,АОKMF Банк,,,https://hh.ru/vacancy/132304203,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,MS Excel; Data Analysis; HR-аналитика; Аналитическое мышление,4,3–6 лет,,Santo member of Polpharma Group,,,https://hh.ru/vacancy/132332344,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,System Analysis; Business Analysis; Use case; User Story; BPMN; UML; REST; SOAP; RabbitMQ; Apache Kafka; SQL; Agile; Английский — B1 — Средний,13,3–6 лет,,Andersen,,,https://hh.ru/vacancy/132429821,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Data Analyst,,SQL; Анализ данных; Работа с большим объемом информации; Исследовательский анализ данных; Power BI; Анализ требований; Data Mining,7,3–6 лет,,BI Group. BI Service,,,https://hh.ru/vacancy/132270261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Data Analyst,,SQL; Greenplum; ORACLE; ETL; Data Governance,5,3–6 лет,,АОBereke Bank - ИТ-специалисты,,,https://hh.ru/vacancy/132179022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,SQL; Oracle Pl/SQL; PostgreSQL; Greenplum,4,1–3 года,,АОBereke Bank - ИТ-специалисты,,,https://hh.ru/vacancy/132178905,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Английский язык; Финансовый анализ; Budgeting; Управленческая отчетность; Аналитическое мышление; Английский — B2 — Средне-продвинутый,6,1–3 года,,ТООMETRO Cash&Carry (Kazakhstan),,,https://hh.ru/vacancy/132292959,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,,Python; DWH; SQL; ETL; Airflow; PostgreSQL; MS SQL; ORACLE; BI; Data quality; Казахский — B1 — Средний; Русский — B1 — Средний; Английский — B1 — Средний,13,3–6 лет,,АОКомпания по страхованию жизни BCC Life,,,https://hh.ru/vacancy/131925994,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
